customerid,firstpurchasedate,lastpurchasedate,totalpurchases,totalrevenue,referralsource,churnindicator,discountsused,productcategory,responsetolastcampaign,feedbackscore,preferredpaymentmethod,supportticketsraised,hasloyaltycard,frequency
14192,2020-11-07,2022-06-10,27,8096,Event sponsorships,0,3,X74,opened mail,5.0,cash,0,no,25
9817,2021-01-10,2021-11-28,5,5098,Online advertisements,0,1,G26,ignored,4.055888268253075,credit card,0,no,4
34343,2019-12-28,2022-06-29,25,9137,Word of mouth,0,1,T56,ignored,4.233302287558291,credit card,0,no,10
15901,2019-07-30,2020-06-20,18,5254,Social media promotions,0,1,H02,ignored,2.6330212195380183,debit card,0,yes,7
40288,2021-03-11,2023-06-13,26,12564,Traditional media outreach,0,0,H35,purchased,5.0,eft,1,no,7
32019,2020-03-07,2021-12-09,11,10255,Online advertisements,1,2,D26,ignored,4.190239883808799,credit card,0,no,9
36988,2021-06-23,2021-07-24,28,11792,Influencer endorsements,0,6,S04,ignored,4.458802315358292,paypal,0,no,28
6000,2021-04-08,2022-12-30,8,10928,Influencer endorsements,1,1,O42,opened mail,4.613598068769411,google pay,0,no,7
36796,2019-07-24,2020-03-02,11,9649,Online advertisements,0,0,K95,ignored,5.0,credit card,0,no,9
44446,2019-02-24,2019-08-29,14,9572,Influencer endorsements,1,3,S87,ignored,5.0,apple pay,0,no,8
32291,2020-10-26,2021-12-08,20,6107,Online advertisements,0,5,J03,ignored,5.0,debit card,0,no,12
29411,2019-11-09,2023-05-31,15,10191,Influencer endorsements,0,6,T89,ignored,5.0,debit card,0,no,2
27155,2020-06-03,2021-07-14,3,9935,Influencer endorsements,1,4,K75,ignored,4.6747417274380885,debit card,0,no,1
21883,2020-10-22,2023-02-27,16,9331,Email campaigns,1,6,P22,ignored,4.78290414358456,debit card,0,no,7
34357,2020-10-05,2023-06-21,24,7910,Word of mouth,1,6,L03,ignored,5.0,credit card,0,no,23
46170,2021-06-16,2021-12-04,23,4602,In-store promotions,0,0,R41,opened mail,3.272254359384466,cash,0,yes,8
5672,2021-02-15,2022-02-28,30,8618,Online advertisements,1,4,M16,ignored,4.454267743202623,debit card,0,no,11
44068,2019-08-06,2022-07-22,24,8789,Online advertisements,0,1,A35,ignored,4.807132828711674,credit card,0,no,20
6655,2019-12-18,2020-08-20,9,6727,Word of mouth,0,1,A61,ignored,4.456299641790556,credit card,0,no,5
10625,2021-11-20,2023-06-15,15,12404,Influencer endorsements,1,6,M03,ignored,4.846725408789861,debit card,0,no,3
33093,2019-05-10,2020-03-15,12,7331,Influencer endorsements,1,0,F37,ignored,5.0,paypal,0,no,5
27862,2020-06-02,2022-07-13,15,12177,Word of mouth,0,4,J78,ignored,3.0720266657303363,credit card,0,yes,8
20211,2022-02-28,2023-01-04,22,4597,Email campaigns,0,1,G00,ignored,5.0,debit card,0,no,4
49869,2019-09-22,2020-06-23,27,11525,Online advertisements,1,3,O93,ignored,4.149589702913362,credit card,0,no,5
13940,2021-02-21,2021-12-19,15,6330,Influencer endorsements,1,2,Q76,ignored,4.384369675734346,debit card,0,no,3
39956,2022-05-13,2023-04-05,17,10687,Online advertisements,1,2,T91,ignored,2.1310422091454324,credit card,0,yes,1
10457,2020-07-28,2021-08-02,8,8682,Influencer endorsements,0,1,A11,ignored,5.0,apple pay,0,no,3
16461,2019-06-25,2021-12-29,28,6911,Social media promotions,0,4,R52,ignored,4.023146251027064,debit card,0,no,5
29233,2020-07-12,2022-06-24,25,5059,Event sponsorships,0,5,S71,opened mail,5.0,cash,0,no,15
20813,2022-05-02,2023-08-14,19,7211,Word of mouth,0,1,P71,ignored,5.0,credit card,0,no,14
38208,2021-04-25,2022-07-24,9,11498,Online advertisements,0,5,V91,ignored,5.0,debit card,0,no,3
45674,2020-12-31,2022-02-17,10,10946,Word of mouth,0,5,A36,ignored,4.669481004890028,credit card,0,no,1
24696,2020-09-03,2021-08-03,5,6386,Event sponsorships,1,4,Y37,opened mail,4.9120302564513745,cash,0,no,5
42695,2020-12-16,2023-05-14,26,7311,In-store promotions,0,5,B66,opened mail,4.972328710310394,cash,0,no,10
44652,2020-08-13,2021-11-19,23,6134,Online advertisements,0,3,C78,ignored,5.0,credit card,0,no,22
38695,2022-04-10,2023-06-20,31,6243,Influencer endorsements,0,4,P19,ignored,4.234319108048027,paypal,0,no,1
6219,2020-04-29,2021-11-12,22,7376,In-store promotions,1,1,U34,opened mail,5.0,cash,0,no,14
38364,2019-08-22,2020-11-10,7,6359,Influencer endorsements,0,6,J53,ignored,5.0,debit card,0,no,4
6710,2021-04-09,2022-10-15,27,10159,Email campaigns,0,3,W81,ignored,4.708593307622003,debit card,0,no,21
34587,2020-03-30,2021-12-21,9,11094,Online advertisements,1,0,Y68,ignored,3.0404457281230006,credit card,0,yes,5
30487,2021-06-22,2023-08-05,23,6785,Word of mouth,0,2,S47,ignored,5.0,credit card,0,no,15
15475,2021-03-05,2023-06-02,15,9136,In-store promotions,0,1,Z28,opened mail,4.60814294238315,cash,0,no,7
33947,2019-02-25,2022-10-29,26,6202,Event sponsorships,0,1,N44,opened mail,1.6420571467374065,cash,0,yes,5
46248,2022-09-16,2022-10-20,10,12555,Influencer endorsements,0,1,T28,ignored,5.0,debit card,0,no,10
29316,2019-04-22,2023-08-25,28,12520,Online advertisements,0,3,V08,ignored,4.371880504588591,debit card,0,no,8
42012,2019-09-11,2023-04-13,17,11016,Online advertisements,1,0,G46,ignored,5.0,debit card,0,no,13
35896,2020-12-24,2022-11-06,19,9934,Influencer endorsements,1,6,J08,ignored,5.0,apple pay,0,no,1
25691,2020-02-08,2023-03-11,31,8461,In-store promotions,1,4,E27,opened mail,5.0,cash,0,no,12
10343,2022-07-12,2022-09-23,7,4662,In-store promotions,0,0,I87,opened mail,4.797099307067345,cash,0,no,7
10304,2019-08-12,2023-02-28,17,10687,Influencer endorsements,0,3,H09,opened mail,4.953067786270458,afterpay,0,no,14
16812,2022-07-06,2023-01-22,20,6449,Influencer endorsements,0,1,C74,ignored,5.0,debit card,0,no,2
16947,2022-12-13,2023-03-01,29,9823,Word of mouth,1,2,T66,ignored,4.39135133870058,credit card,0,no,29
28280,2022-12-05,2023-06-04,10,8948,Word of mouth,0,1,M70,ignored,4.487516044834748,credit card,0,no,4
40053,2020-11-21,2022-09-02,30,7508,In-store promotions,0,4,F63,opened mail,4.146470760078317,cash,0,no,1
25410,2020-10-28,2022-07-16,19,11558,Influencer endorsements,1,5,P45,ignored,3.867708947782877,debit card,0,no,5
11194,2020-10-23,2023-06-04,23,11800,Word of mouth,0,2,L73,ignored,4.284149644890044,credit card,0,no,2
9702,2020-04-30,2021-10-03,13,7570,Word of mouth,1,1,S22,ignored,5.0,credit card,0,no,7
38076,2021-07-07,2022-08-09,16,6655,Influencer endorsements,1,6,D11,ignored,3.6709944820283162,paypal,0,no,13
24600,2022-10-12,2022-11-17,15,5554,Word of mouth,1,2,N71,ignored,1.5980458224670233,credit card,0,yes,15
32078,2021-01-13,2021-10-05,14,8899,Word of mouth,0,5,F47,ignored,5.0,credit card,0,no,11
5429,2022-09-22,2023-02-22,29,10695,Influencer endorsements,0,0,Z52,ignored,5.0,debit card,0,no,11
13256,2020-02-23,2023-01-08,11,10597,Influencer endorsements,0,3,C12,ignored,4.047348404746569,apple pay,0,no,4
41055,2020-03-23,2020-11-13,13,6048,Influencer endorsements,0,1,E05,ignored,3.2407124297822665,paypal,0,yes,12
21812,2019-04-08,2019-12-18,11,9939,Online advertisements,0,4,H95,ignored,5.0,credit card,0,no,7
19183,2021-05-27,2022-07-06,27,8599,Influencer endorsements,0,0,S18,ignored,5.0,apple pay,0,no,21
11230,2022-07-15,2023-05-25,19,6957,Online advertisements,0,1,M85,ignored,5.0,credit card,0,no,18
45445,2020-12-18,2021-09-10,22,9992,Online advertisements,1,0,M41,ignored,5.0,debit card,0,no,10
40244,2020-05-26,2020-11-28,28,4498,Influencer endorsements,0,4,B94,opened mail,4.439442281295488,google pay,0,no,8
41759,2020-08-02,2022-12-02,6,6600,Influencer endorsements,1,1,V40,ignored,5.0,debit card,0,no,2
18867,2020-11-07,2023-07-24,30,7361,In-store promotions,0,5,Q01,opened mail,2.9762716004370398,cash,0,yes,10
5811,2023-03-07,2023-03-10,13,9373,Influencer endorsements,0,5,O39,ignored,5.0,paypal,0,no,13
45652,2022-07-14,2023-07-12,30,8833,Influencer endorsements,0,4,D76,ignored,5.0,debit card,0,no,19
6704,2022-01-11,2022-03-16,25,7269,Word of mouth,1,2,U25,ignored,5.0,credit card,0,no,25
44139,2022-09-08,2023-04-04,21,5356,Online advertisements,1,4,L48,ignored,4.817294261588655,debit card,0,no,5
42514,2019-10-15,2020-04-20,12,10099,Online advertisements,1,2,Z36,ignored,1.6515859022678052,credit card,0,yes,6
39829,2020-08-20,2020-12-03,28,11344,Online advertisements,1,1,P79,ignored,5.0,credit card,0,no,11
9229,2019-03-31,2022-08-18,28,8893,Traditional media outreach,0,2,F26,purchased,5.0,cash,1,no,2
22844,2021-01-26,2023-04-17,13,9311,Social media promotions,1,1,E10,ignored,5.0,debit card,0,no,12
16475,2022-09-07,2022-12-14,12,8387,In-store promotions,0,1,A45,opened mail,4.535518364460717,cash,0,no,2
27628,2021-12-22,2022-12-15,20,10415,Influencer endorsements,0,6,H27,ignored,4.990326094526866,debit card,0,no,11
8705,2019-09-14,2022-03-16,30,5618,In-store promotions,1,3,S46,opened mail,5.0,cash,0,no,13
9264,2022-10-20,2023-07-29,30,8896,Email campaigns,1,1,Y76,ignored,4.3273455413990165,debit card,0,no,10
41695,2022-04-09,2023-08-10,23,9135,Influencer endorsements,1,2,R94,ignored,5.0,debit card,0,no,11
37643,2019-05-24,2021-09-12,26,8955,Social media promotions,1,3,O69,ignored,4.768984000176406,debit card,0,no,22
30337,2022-02-12,2023-07-28,23,12450,Online advertisements,1,3,V01,ignored,5.0,credit card,0,no,15
7463,2021-01-02,2021-12-26,28,7846,Influencer endorsements,1,1,H75,ignored,5.0,apple pay,0,no,1
38855,2019-05-27,2023-04-28,31,5445,Online advertisements,1,4,H16,ignored,5.0,debit card,0,no,25
32111,2019-02-05,2023-07-13,14,11293,Word of mouth,1,4,S95,ignored,4.877306190312058,credit card,0,no,7
9982,2020-11-06,2021-10-04,30,6093,Influencer endorsements,0,5,M00,ignored,5.0,debit card,0,no,10
27744,2019-09-11,2020-08-19,18,7836,Online advertisements,1,3,L32,ignored,4.295209000878362,credit card,0,no,1
30794,2020-09-17,2023-06-12,11,10295,Traditional media outreach,1,1,C98,purchased,5.0,cash,0,no,1
